"comuna","nom_com","city","percent"
11101,"Coihaique","Coyhaique",54.7
12101,"Punta Arenas","Punta Arenas",55.1
13101,"Santiago","Gran Santiago",48.4
13102,"Cerrillos","Gran Santiago",51.1
13103,"Cerro Navia","Gran Santiago",47.5
13104,"Conchalí","Gran Santiago",48.8
13105,"El Bosque","Gran Santiago",51.9
13106,"Estación Central","Gran Santiago",46.6
13107,"Huechuraba","Gran Santiago",45.6
13108,"Independencia","Gran Santiago",44.5
13109,"La Cisterna","Gran Santiago",47.5
13110,"La Florida","Gran Santiago",48
13111,"La Granja","Gran Santiago",48.3
13112,"La Pintana","Gran Santiago",49.2
13113,"La Reina","Gran Santiago",43.3
13114,"Las Condes","Gran Santiago",48.8
13115,"Lo Barnechea","Gran Santiago",44.8
13116,"Lo Espejo","Gran Santiago",52.3
13117,"Lo Prado","Gran Santiago",47.8
13118,"Macul","Gran Santiago",45
13119,"Maipú","Gran Santiago",49.4
13120,"Ñuñoa","Gran Santiago",45.1
13121,"Pedro Aguirre Cerda","Gran Santiago",49.9
13122,"Peñalolén","Gran Santiago",45.9
13123,"Providencia","Gran Santiago",41.4
13124,"Pudahuel","Gran Santiago",49.6
13125,"Quilicura","Gran Santiago",44.6
13126,"Quinta Normal","Gran Santiago",50.3
13127,"Recoleta","Gran Santiago",47.9
13128,"Renca","Gran Santiago",48
13129,"San Joaquín","Gran Santiago",43.3
13130,"San Miguel","Gran Santiago",44.9
13131,"San Ramón","Gran Santiago",45.5
13132,"Vitacura","Gran Santiago",42.1
13201,"Puente Alto","Gran Santiago",45.7
13401,"San Bernardo","Gran Santiago",49.6
14101,"Valdivia","Valdivia",54.4
15101,"Arica","Arica",49.6
16101,"Chillán","Chillán",50.3
16102,"Bulnes","Chillán",54.5
16103,"Chillán Viejo","Chillán",55.3
16301,"San Carlos","Chillán",56.6
16305,"San Nicolás","Chillán",50
1101,"Iquique","Iquique - Alto Hospicio",47.2
1107,"Alto Hospicio","Iquique - Alto Hospicio",48.6
2101,"Antofagasta","Antofagasta",48.5
3101,"Copiapó","Copiapo",52.6
4101,"La Serena","Gran Coquimbo",47.1
4102,"Coquimbo","Gran Coquimbo",50.6
5101,"Valparaíso","Valparaíso Metropolitano",52.8
5103,"Concón","Valparaíso Metropolitano",54.4
5109,"Viña del Mar","Valparaíso Metropolitano",49.9
5801,"Quilpué","Valparaíso Metropolitano",48.1
5804,"Villa Alemana","Valparaíso Metropolitano",47.4
6101,"Rancagua","Rancagua - Machalí",49.3
6108,"Machalí","Rancagua - Machalí",50.5
7101,"Talca","Talca - Maule",50.4
7105,"Maule","Talca - Maule",42.9
8101,"Concepción","Gran Concepcion",51
8102,"Coronel","Gran Concepcion",52.9
8103,"Chiguayante","Gran Concepcion",53.3
8106,"Lota","Gran Concepcion",52.9
8107,"Penco","Gran Concepcion",54
8108,"San Pedro de la Paz","Gran Concepcion",53.4
8110,"Talcahuano","Gran Concepcion",50.9
8111,"Tomé","Gran Concepcion",56.7
8112,"Hualpén","Gran Concepcion",52
9101,"Temuco","Temuco",52.1
9112,"Padre Las Casas","Temuco",54.6
10101,"Puerto Montt","Puerto Montt - Varas",52.4
10109,"Puerto Varas","Puerto Montt - Varas",49.9
11101,"Coihaique","Coyhaique",55.1
12101,"Punta Arenas","Punta Arenas",57.2
13101,"Santiago","Gran Santiago",47.7
13102,"Cerrillos","Gran Santiago",47.9
13103,"Cerro Navia","Gran Santiago",53.6
13104,"Conchalí","Gran Santiago",51
13105,"El Bosque","Gran Santiago",49.3
13106,"Estación Central","Gran Santiago",50.1
13107,"Huechuraba","Gran Santiago",46.4
13108,"Independencia","Gran Santiago",46
13109,"La Cisterna","Gran Santiago",49.9
13110,"La Florida","Gran Santiago",48.2
13111,"La Granja","Gran Santiago",47.2
13112,"La Pintana","Gran Santiago",49.2
13113,"La Reina","Gran Santiago",46.1
13114,"Las Condes","Gran Santiago",44.6
13115,"Lo Barnechea","Gran Santiago",47.6
13116,"Lo Espejo","Gran Santiago",47.9
13117,"Lo Prado","Gran Santiago",47.6
13118,"Macul","Gran Santiago",49.4
13119,"Maipú","Gran Santiago",47.6
13120,"Ñuñoa","Gran Santiago",46.1
13121,"Pedro Aguirre Cerda","Gran Santiago",49.7
13122,"Peñalolén","Gran Santiago",49.1
13123,"Providencia","Gran Santiago",46.3
13124,"Pudahuel","Gran Santiago",48.9
13125,"Quilicura","Gran Santiago",47.4
13126,"Quinta Normal","Gran Santiago",48.6
13127,"Recoleta","Gran Santiago",46.2
13128,"Renca","Gran Santiago",48.4
13129,"San Joaquín","Gran Santiago",52
13130,"San Miguel","Gran Santiago",45.3
13131,"San Ramón","Gran Santiago",42.4
13132,"Vitacura","Gran Santiago",33.9
13201,"Puente Alto","Gran Santiago",46.9
13401,"San Bernardo","Gran Santiago",49.9
14101,"Valdivia","Valdivia",46.6
15101,"Arica","Arica",41.4
16101,"Chillán","Chillán",44.7
16102,"Bulnes","Chillán",39.4
16103,"Chillán Viejo","Chillán",45.6
16301,"San Carlos","Chillán",51.2
16305,"San Nicolás","Chillán",56.2
1101,"Iquique","Iquique - Alto Hospicio",45.9
1107,"Alto Hospicio","Iquique - Alto Hospicio",51.2
2101,"Antofagasta","Antofagasta",47.9
3101,"Copiapó","Copiapo",53.8
4101,"La Serena","Gran Coquimbo",51.4
4102,"Coquimbo","Gran Coquimbo",48.5
5101,"Valparaíso","Valparaíso Metropolitano",54.3
5103,"Concón","Valparaíso Metropolitano",55.2
5109,"Viña del Mar","Valparaíso Metropolitano",52.6
5801,"Quilpué","Valparaíso Metropolitano",45.9
5804,"Villa Alemana","Valparaíso Metropolitano",44.5
6101,"Rancagua","Rancagua - Machalí",49.5
6108,"Machalí","Rancagua - Machalí",51.6
7101,"Talca","Talca - Maule",55
7105,"Maule","Talca - Maule",45.6
8101,"Concepción","Gran Concepcion",51
8102,"Coronel","Gran Concepcion",52
8103,"Chiguayante","Gran Concepcion",53.7
8106,"Lota","Gran Concepcion",56.5
8107,"Penco","Gran Concepcion",54.8
8108,"San Pedro de la Paz","Gran Concepcion",54.2
8110,"Talcahuano","Gran Concepcion",52.2
8111,"Tomé","Gran Concepcion",59.2
8112,"Hualpén","Gran Concepcion",54.7
9101,"Temuco","Temuco",52.7
9112,"Padre Las Casas","Temuco",47.2
