"city","tasa"
"Coyhaique",52.3332294973427
"Gran Concepcion",68.8474049241119
"Gran Coquimbo",62.6990709953585
"Gran Santiago",65.0841988839205
"Iquique - Alto Hospicio",71.574462912929
"Puerto Montt - Varas",60.1692957330706
"Punta Arenas",67.5318030750908
"Rancagua - Machalí",73.4477889413955
"Talca - Maule",54.4985198874931
"Temuco",63.4789922253587
"Valdivia",58.8236879780337
"Valparaíso Metropolitano",72.8932367070654
