"city","comuna","tasa"
"Gran Concepcion",8107,52.9302119366299
"Gran Concepcion",8108,78.1955211731191
"Gran Concepcion",8110,85.2673969835263
"Gran Concepcion",8111,72.313017726873
"Gran Concepcion",8112,94.4965920603577
"Gran Coquimbo",4101,70.2601412175817
"Gran Coquimbo",4102,66.5036928011083
"Gran Santiago",13101,71.0410301156158
"Gran Santiago",13102,59.6914675966674
"Gran Santiago",13103,104.376699722176
"Gran Santiago",13104,70.1675809121948
"Gran Santiago",13105,76.3737887391599
"Gran Santiago",13106,96.4513796086878
"Gran Santiago",13107,74.5880221997867
"Gran Santiago",13108,114.54534457825
"Gran Santiago",13109,91.8576445978519
"Gran Santiago",13110,63.9327049208752
"Gran Santiago",13111,70.1615824580349
"Gran Santiago",13112,76.5716599600516
"Gran Santiago",13113,55.4420995272143
"Gran Santiago",13114,38.0811434150782
"Gran Santiago",13115,46.6795077915628
"Gran Santiago",13116,83.1270156748777
"Gran Santiago",13117,84.8492106006678
"Gran Santiago",13118,46.3539255741741
"Gran Santiago",13119,63.7576457332691
"Gran Santiago",13120,55.659008628844
"Gran Santiago",13121,65.6326798519317
"Gran Santiago",13122,75.8705707146868
"Gran Santiago",13123,57.9289236699193
"Gran Santiago",13124,69.3111492413196
"Gran Santiago",13125,67.6301506874197
"Gran Santiago",13126,87.3198062835453
"Gran Santiago",13127,92.4658267340646
"Gran Santiago",13128,85.6552744888934
"Gran Santiago",13129,79.8200695463999
"Gran Santiago",13130,90.0670922688595
"Gran Santiago",13131,96.3323040468675
"Gran Santiago",13132,38.1205660737784
"Gran Santiago",13201,71.649635345642
"Gran Santiago",13401,84.5420277974028
"Iquique - Alto Hospicio",1101,64.0343087149752
"Iquique - Alto Hospicio",1107,56.6396531876968
"Puerto Montt - Varas",10101,82.3263227834431
"Puerto Montt - Varas",10109,88.4253636039276
"Punta Arenas",12101,96.1267705527849
"Rancagua - Machalí",6101,84.6064999382073
"Rancagua - Machalí",6108,68.5848961022774
"Talca - Maule",7101,76.113356171193
"Talca - Maule",7105,74.2908707064809
"Temuco",9101,75.080199906241
"Temuco",9112,70.822541413729
"Valdivia",14101,75.7364377268302
"Valparaíso Metropolitano",5101,98.5006744994026
"Valparaíso Metropolitano",5103,61.2931152853644
"Valparaíso Metropolitano",5109,69.6490046170158
"Valparaíso Metropolitano",5801,81.5475400055932
"Valparaíso Metropolitano",5804,71.6716424838992
"Antofagasta",2101,97.2542432796219
"Arica",15101,66.5934625412463
"Chillán",16101,87.7128951404559
"Chillán",16102,106.419240690848
"Chillán",16103,82.0814044083145
"Chillán",16301,74.1775711070414
"Chillán",16305,96.5964370715722
"Copiapo",3101,70.7939963906626
"Coyhaique",11101,71.047720691838
"Gran Concepcion",8101,78.0736371932304
"Gran Concepcion",8102,67.8823456452483
"Gran Concepcion",8103,63.691802814132
"Gran Concepcion",8106,94.0282664171738
"Gran Concepcion",8107,71.0866906451809
"Gran Concepcion",8108,72.1013367884491
"Gran Concepcion",8110,70.8465700043266
"Gran Concepcion",8111,72.5820136338321
"Gran Concepcion",8112,66.2484883170906
"Gran Coquimbo",4101,53.8978528976469
"Gran Coquimbo",4102,66.4622347729308
"Gran Santiago",13101,68.7890886728003
