"comuna","nom_com","city","AVPP"
13119,"Maipú","Gran Santiago",3490.25570488706
13120,"Ñuñoa","Gran Santiago",3005.02207435706
13121,"Pedro Aguirre Cerda","Gran Santiago",4975.58245547522
13122,"Peñalolén","Gran Santiago",4623.00545161466
13123,"Providencia","Gran Santiago",3375.15043215054
13124,"Pudahuel","Gran Santiago",4638.87578518758
13125,"Quilicura","Gran Santiago",4234.43275518908
13126,"Quinta Normal","Gran Santiago",5216.25189081905
13127,"Recoleta","Gran Santiago",5866.18592469132
13128,"Renca","Gran Santiago",4611.11438331959
13129,"San Joaquín","Gran Santiago",4943.7617163091
13130,"San Miguel","Gran Santiago",4468.11240857179
13131,"San Ramón","Gran Santiago",5924.10505256885
13132,"Vitacura","Gran Santiago",2899.97448328655
13201,"Puente Alto","Gran Santiago",4094.83392879215
13401,"San Bernardo","Gran Santiago",5225.07191450663
14101,"Valdivia","Valdivia",5261.8990672088
15101,"Arica","Arica",5005.2929288609
16101,"Chillán","Chillán",6583.35315536201
16102,"Bulnes","Chillán",4702.14771092704
16103,"Chillán Viejo","Chillán",385.181338180559
16301,"San Carlos","Chillán",5671.27032375201
16305,"San Nicolás","Chillán",4762.39456901872
1101,"Iquique","Iquique - Alto Hospicio",5152.9178685573
1107,"Alto Hospicio","Iquique - Alto Hospicio",3186.08157329455
2101,"Antofagasta","Antofagasta",4752.78378753895
3101,"Copiapó","Copiapo",4482.99400486734
4101,"La Serena","Gran Coquimbo",3833.46879159452
4102,"Coquimbo","Gran Coquimbo",4478.10130805425
5101,"Valparaíso","Valparaíso Metropolitano",4905.70094947855
5103,"Concón","Valparaíso Metropolitano",3173.10527867886
5109,"Viña del Mar","Valparaíso Metropolitano",4389.83180481293
5801,"Quilpué","Valparaíso Metropolitano",3927.33081074375
5804,"Villa Alemana","Valparaíso Metropolitano",3741.29695595855
6101,"Rancagua","Rancagua - Machalí",6089.99385502479
6108,"Machalí","Rancagua - Machalí",4557.36450083905
7101,"Talca","Talca - Maule",4896.82344250185
7105,"Maule","Talca - Maule",3260.91845454954
8101,"Concepción","Gran Concepcion",4580.02476192249
8102,"Coronel","Gran Concepcion",4508.92059774951
8103,"Chiguayante","Gran Concepcion",3858.20986898494
8106,"Lota","Gran Concepcion",6049.62364092556
8107,"Penco","Gran Concepcion",5318.40294517246
8108,"San Pedro de la Paz","Gran Concepcion",4232.11498089035
8110,"Talcahuano","Gran Concepcion",4934.26930440332
8111,"Tomé","Gran Concepcion",4837.8686340022
8112,"Hualpén","Gran Concepcion",4579.68323954284
9101,"Temuco","Temuco",4435.12955090603
9112,"Padre Las Casas","Temuco",4802.23285486443
10101,"Puerto Montt","Puerto Montt - Varas",6554.33928283286
10109,"Puerto Varas","Puerto Montt - Varas",4016.35332392825
11101,"Coihaique","Coyhaique",3976.83248101658
12101,"Punta Arenas","Punta Arenas",5433.25407174452
13101,"Santiago","Gran Santiago",4073.33553535675
13102,"Cerrillos","Gran Santiago",5121.97132025713
13103,"Cerro Navia","Gran Santiago",5573.66317050409
13104,"Conchalí","Gran Santiago",4803.48684110961
13105,"El Bosque","Gran Santiago",4907.13541727621
13106,"Estación Central","Gran Santiago",5578.75162275008
13107,"Huechuraba","Gran Santiago",3997.99473618248
13108,"Independencia","Gran Santiago",6602.72749528377
13109,"La Cisterna","Gran Santiago",3530.56281395044
13110,"La Florida","Gran Santiago",3813.74490743164
13111,"La Granja","Gran Santiago",4726.2865003439
13112,"La Pintana","Gran Santiago",5108.99002051016
13113,"La Reina","Gran Santiago",3061.91514734795
13114,"Las Condes","Gran Santiago",2862.72602095924
13115,"Lo Barnechea","Gran Santiago",2638.78822127492
13116,"Lo Espejo","Gran Santiago",5053.66890134447
13117,"Lo Prado","Gran Santiago",4117.54389383635
13118,"Macul","Gran Santiago",4109.77975367309
13119,"Maipú","Gran Santiago",3351.54804515277
13120,"Ñuñoa","Gran Santiago",2875.83971787963
13121,"Pedro Aguirre Cerda","Gran Santiago",5500.15964968298
13122,"Peñalolén","Gran Santiago",4769.31029058139
13123,"Providencia","Gran Santiago",3980.52562773295
13124,"Pudahuel","Gran Santiago",4551.36604781045
13125,"Quilicura","Gran Santiago",4594.2068588605
13126,"Quinta Normal","Gran Santiago",5307.41445605313
13127,"Recoleta","Gran Santiago",5060.11679835108
13128,"Renca","Gran Santiago",5409.82768318249
13129,"San Joaquín","Gran Santiago",5114.70871954033
13130,"San Miguel","Gran Santiago",4513.07009181677
13131,"San Ramón","Gran Santiago",4724.41794006319
13132,"Vitacura","Gran Santiago",2504.97423600837
13201,"Puente Alto","Gran Santiago",3845.46051904704
13401,"San Bernardo","Gran Santiago",4750.48703731455
14101,"Valdivia","Valdivia",4495.34567513858
15101,"Arica","Arica",4552.29017738946
16101,"Chillán","Chillán",4660.92455298735
16102,"Bulnes","Chillán",6394.16637730046
16103,"Chillán Viejo","Chillán",3447.11193620522
16301,"San Carlos","Chillán",6375.03823799327
16305,"San Nicolás","Chillán",8604.55655004068
1101,"Iquique","Iquique - Alto Hospicio",5478.86828111393
1107,"Alto Hospicio","Iquique - Alto Hospicio",3228.88318030369
2101,"Antofagasta","Antofagasta",4923.70169023082
3101,"Copiapó","Copiapo",4672.19346726321
4101,"La Serena","Gran Coquimbo",3875.12771815993
4102,"Coquimbo","Gran Coquimbo",3888.46309904874
5101,"Valparaíso","Valparaíso Metropolitano",5479.59885005654
5103,"Concón","Valparaíso Metropolitano",4816.62024141133
5109,"Viña del Mar","Valparaíso Metropolitano",4338.54073225597
