"codcomuna","dato"
13128,5571.4306435938
13129,4241.82296009372
13130,4325.80894343833
13131,4699.33647424055
13132,3283.76861864926
13201,3780.19906673103
13401,5384.03001518175
14101,4954.3135980979
15101,4792.0040671499
16101,5808.14005956141
16102,6300.54075507268
16103,4425.68958419103
16301,5459.91647142712
16305,2102.40418468967
1101,5128.87729223566
1107,4365.22505323445
2101,5837.5349420868
3101,4714.18794798833
4101,4961.43246011669
4102,4484.13158606827
5101,5468.92547194474
5103,3129.72957537337
5109,4295.86264742635
5801,4862.02365308804
5804,4077.1274517465
6101,5500.67047973509
6108,3924.88262910798
7101,4315.27315229139
7105,5005.7099352874
8101,4278.79177198397
8102,4949.83664382571
8103,4567.44537466945
8106,7933.68467281511
8107,4322.28651586884
8108,5164.56251183276
8110,4935.05986719304
8111,5001.63514995287
8112,4992.27523231951
9101,4955.69361403782
9112,5267.79367679328
10101,6152.43887364335
10109,6460.76702666961
11101,4474.77834943899
12101,6225.87442056469
13101,4084.59556512822
13102,4682.183939083
13103,5880.89312430424
13104,5831.0291858679
13105,5614.20970933608
13106,5430.05253211741
13107,5842.48290474815
13108,6565.95481700199
13109,4232.82302655726
13110,3486.40842442752
13111,5069.64187591084
13112,5788.7437820935
13113,3215.03312622665
13114,2598.5238147351
13115,2522.51408228033
13116,5111.71039571512
13117,5402.64124714527
13118,4094.98357552475
13119,3455.7156809418
13120,2914.22517761272
13121,4823.64565079602
13122,4340.69271939588
13123,3667.81276655616
13124,4079.79241310176
13125,4547.38254863604
13126,4663.87622978074
13127,5408.16468267748
13128,4530.06598092604
13129,5059.20458769182
13130,4972.30946273165
13131,5892.77998737024
13132,2633.15608941254
13201,4263.74275538624
13401,5754.89899724962
14101,5214.05575724365
15101,4452.46690734055
16101,5176.05023690453
16102,4648.16650148662
16103,5290.64395613225
16301,6940.80084599272
16305,3904.38247011952
1101,6525.88866613045
1107,3463.85364065327
2101,5583.6521178771
3101,5056.67452629187
4101,5001.44149738313
4102,3901.3707518858
5101,5536.73062254298
5103,3657.61159648285
5109,4535.39146910419
5801,4445.81382590987
5804,4060.48510899601
6101,6362.98230292719
6108,3916.68378878159
7101,5290.29933238214
7105,3400.37977354244
8101,4931.93244871097
8102,4151.2555503789
8103,3956.65536887885
8106,7055.24874132233
8107,4462.4079915878
8108,4555.33330768935
8110,5113.46881000282
8111,5009.02007446359
8112,4612.3785989311
9101,4878.02051341485
9112,5219.28290004107
10101,5863.88495037472
10109,5320.03773076405
11101,5792.39079379991
12101,5980.20829844948
13101,3721.88482261172
13102,4610.27570600287
13103,5165.28630076242
13104,5547.2611800017
13105,5580.15890518737
13106,4984.96800883932
13107,4413.32735129519
13108,6382.12416156802
13109,3571.63920310454
13110,3937.45019038342
13111,5798.24300537708
13112,5300.15759551202
13113,3868.64891357621
13114,2399.18755970874
13115,2466.84744676713
13116,6044.94424565987
13117,5765.33782294109
13118,3880.9592175097
13119,3516.62160236221
13120,2685.1237095836
13121,4848.2964553838
